Character,Pinyin,Meaning
象,xiàng,"elephant; ivory;"
鼠,shǔ,"rat, mouse"
虎,"hǔ, hù",tiger;
兔,tù,"rabbit, hare"
蛇,"shé, yí, tuó, chí",snake
马,mǎ,horse;
羊,yáng,"sheep, goat; "
猴,hóu,"monkey, ape; monkey-like"
鸡,jī,chicken
猪,zhū,"pig, hog, wild boar"
