Character,Pinyin,Meaning
一,yī,"one; a, an; alone"
二,èr,"two; twice"
三,"sān, sàn",three
四,sì,four
五,wǔ,"five; surname"
六,"liù, lù","number six"
七,qī,seven
八,bā,eight
九,jiǔ,nine
十,shí,"ten, tenth;"
